interaction;name
CDC45;FOXM1
RAD51;FOXM1
MELK;CDK1
KNL1;CDK1
LAPTM5;DOCK2
CTSS;APBB1IP
DBF4;CDK1
KIF4A;FOXM1
H2AX;GINS3
ITGB2;C1QB
IFI30;C1QB
NEK2;EZH2
HELLS;CDK1
BCL2A1;ANPEP
SIRPG;TNFRSF18
CXCL9;TNFRSF9
KLHL6;SLC1A3
CDCA8;CLSPN
NEIL3;CLSPN
CCR5;APBB1IP
CD3D;DOCK2
RYR3;PFKFB4
SMC2;CDK1
TREM2;SLC37A2
PBK;CLSPN
CTSS;SLC37A2
FAM72A;CDK1
HOXA10;RANBP1
LIPM;C1QB
VCAM1;DOCK2
SIGLEC10;APBB1IP
GFI1;DOCK2
SERPINA1;C1QB
SLC37A2;DOCK2
CDK2;CDK1
LY75;DOCK2
SPHK1;ADORA2B
FAM72D;CDK1
POLE2;GINS3
DDIAS;EZH2
FANCI;CDK1
PLEKHG3;SPTB
EVI2B;SLC37A2
NCAPG2;CDK1
LIG1;FANCD2
APOC4-APOC2;SLC37A2
CDC45;RRM1
APOC1;DOCK2
ATP8B4;SALL4
TMEM51;TMEM107
KIFC1;FOXM1
CXCR3;DOCK2
CXCR3;APBB1IP
SLC11A1;FOSL1
HOXA11;ADORA2B
KCNN4;EXOC3L4
ZWINT;CDK1
LMNB2;EZH2
CD84;C1QB
TREM2;SLC1A3
NCAPH;RRM1
CD180;APBB1IP
REV3L;RGS16
ARHGEF3;SALL4
DIAPH3;CKAP2
MAD2L2;GINS3
ULBP1;GINS3
EFCC1;EMCN
CYTIP;APBB1IP
CD300LF;SLC37A2
SP140;TNFRSF18
POLE2;FOXM1
FBXO43;EZH2
DLGAP5;RRM1
TYMS;EZH2
MYBL2;FOXM1
LHX2;CDK1
CCDC18;CDK1
GINS2;FOXM1
DOK2;C1QB
KIF18B;C21orf58
HECW2-AS1;SLC37A2
CCNF;FOXM1
CXCR6;DOCK2
CDCA5;FOXM1
MSR1;SLC1A3
TOP2A;CLSPN
ITGAX;SLC37A2
CDKN3;FOXM1
CRNDE;GINS3
ATAD5;CDK1
ATAD2;CDK1
ASF1B;CKAP2
ARHGAP11A;CLSPN
CDK2;CLSPN
SPAG5;CLSPN
MIR4477A;MIR4477B
IL21R;DOCK2
EML2-AS1;SLC37A2
HK3;SLC37A2
CHEK1;IL33
CDC7;CDK1
LAPTM5;C1QB
MKI67;RRM1
IL18;SLC37A2
CENPF;CLSPN
BUB1B-PAK6;CKAP2
ERCC6L;EZH2
ANLN;CDK1
SLC37A2;APBB1IP
CCRL2;DOCK2
ARL4C;ANPEP
TYMP;APBB1IP
RACGAP1;FOXM1
ASF1B;CNIH2
CD300A;SLC37A2
SAPCD2;GINS3
LIPM;APBB1IP
ADORA3;FFAR4
IL7R;TNFRSF18
THRIL;PFKFB4
UBASH3A;APBB1IP
GPR171;C1QB
FBXO5;CDK1
ARSJ;RGS1
ANKRD22;DOCK2
