interaction;name
GBP1;HELLS
ZC3H12A;BCAR3
CGN;MOCOS
RASSF2;ADAM19
USP1;PAX6
MMS22L;HELLS
CENPL;CEP15
GATA3;CD38
IL2RB;SLAMF8
MICB;BOK
DSCAML1;MT1G
RAB11FIP4;IGFBP4
MYBL2;MKI67
P3H2;MKI67
CCDC171;OLFML2B
RNU2-1;ALYREF
CD3E;ETV7
YBX2;SLC12A5-AS1
RIN1;PAX6
SH3BGRL3;LOC102723996
LOC105375610;MIR675
PKIB;C1GALT1
PI15;HOXD3
CKS1B;BCAR3
SLC31A2;DDIAS
PARP14;C1GALT1
CCR5;ETV7
TUBE1;EIF4EBP1
VCAM1;MMP1
PASK;PBX4
RFLNB;LOC102723996
SKA2;JAK3
MT2A;JAK3
MCM10;PBK
GBP5;EVI2B
CYTIP;P2RY10
NT5DC2;TIFA
PATL2;P2RY10
DAPP1;BATF
MCM2;CENPH
CXCL16;DDIAS
C1GALT1;IGFBP4
DCST2;PILRA
AFAP1-AS1;E2F3
KCNMA1;NCF2
LOC105372326;HNMT
PLSCR2;LINC02154
PYHIN1;DENND2D
CASP2;STARD13-AS
RAB42;MELK
SLF1;HELLS
ASF1B;LRRC55
UPP1;LOC102723996
IGFLR1;PILRA
IRX3;MSC-AS1
LYVE1;ALYREF
CYTIP;DENND2D
DNA2;ASB5
PRC1;MELK
LOC100129455;ZDHHC13
KCNMB2;ADAMTSL5
SLC20A1;LOC102723996
MMS22L;FAAP24
UPP1;TFDP1
APBB1IP;DENND2D
IFI44;VSTM4
IRAK1;ASB5
PLPP3;LRRC55
CD300A;ECM1
APOL1;GATA5
RGS16;LOC102723996
STON2;EIF4EBP1
FBXO5;PAX6
IL21R-AS1;MSC-AS1
SLC26A9-AS1;HOXD3
TCF21;BCAR3
MCUB;ETV7
CDHR4;GAPDH-DT
RAD54L;DRD2
SH3BGRL3;MZT1
SLC25A10;GAPDH-DT
SKAP2;DRD2
TTK;PBK
TUBA3E;IGFBP4
CHRFAM7A;IGFBP4
PARVA;HELLS
SLC11A1;EDNRA
USP1;ASB5
HTATIP2;COL27A1
CEP15;PILRA
ETV4;E2F3
UAP1L1;IGFBPL1
ANP32E;TIFA
RANBP1;POC1A
CDKN2B-AS1;RFC3
ELAVL3;MT1G
GIPC3;RFC3
SLC25A40;TRPV2
SLC31A2;DRD2
