"interaction","name","selected","shared interaction","shared name"
"interacts with","BUB1B-PAK6 (interacts with) ARHGAP11B","false","interacts with","BUB1B-PAK6 (interacts with) ARHGAP11B"
"interacts with","BUB1B-PAK6 (interacts with) CDK1","false","interacts with","BUB1B-PAK6 (interacts with) CDK1"
"interacts with","BUB1B-PAK6 (interacts with) HMGB2","false","interacts with","BUB1B-PAK6 (interacts with) HMGB2"
"interacts with","BUB1B-PAK6 (interacts with) CENPK","false","interacts with","BUB1B-PAK6 (interacts with) CENPK"
"interacts with","BUB1B-PAK6 (interacts with) PRRG4","false","interacts with","BUB1B-PAK6 (interacts with) PRRG4"
"interacts with","BUB1B-PAK6 (interacts with) PRC1-AS1","false","interacts with","BUB1B-PAK6 (interacts with) PRC1-AS1"
"interacts with","BUB1B-PAK6 (interacts with) SOCS2-AS1","false","interacts with","BUB1B-PAK6 (interacts with) SOCS2-AS1"
"interacts with","BUB1B-PAK6 (interacts with) FAM72A","false","interacts with","BUB1B-PAK6 (interacts with) FAM72A"
"interacts with","BUB1B-PAK6 (interacts with) FANCD2","false","interacts with","BUB1B-PAK6 (interacts with) FANCD2"
"interacts with","BUB1B-PAK6 (interacts with) CLSPN","false","interacts with","BUB1B-PAK6 (interacts with) CLSPN"
"interacts with","BUB1B-PAK6 (interacts with) DCST1-AS1","false","interacts with","BUB1B-PAK6 (interacts with) DCST1-AS1"
"interacts with","BUB1B-PAK6 (interacts with) IL37","false","interacts with","BUB1B-PAK6 (interacts with) IL37"
"interacts with","BUB1B-PAK6 (interacts with) LOC100288637","false","interacts with","BUB1B-PAK6 (interacts with) LOC100288637"
"interacts with","BUB1B-PAK6 (interacts with) LHX2","false","interacts with","BUB1B-PAK6 (interacts with) LHX2"
"interacts with","BUB1B-PAK6 (interacts with) CLGN","false","interacts with","BUB1B-PAK6 (interacts with) CLGN"
"interacts with","BUB1B-PAK6 (interacts with) CKS2","false","interacts with","BUB1B-PAK6 (interacts with) CKS2"
"interacts with","BUB1B-PAK6 (interacts with) DRAXIN","false","interacts with","BUB1B-PAK6 (interacts with) DRAXIN"
"interacts with","BUB1B-PAK6 (interacts with) STIL","false","interacts with","BUB1B-PAK6 (interacts with) STIL"
"interacts with","BUB1B-PAK6 (interacts with) KNL1","false","interacts with","BUB1B-PAK6 (interacts with) KNL1"
"interacts with","BUB1B-PAK6 (interacts with) FAM111B","false","interacts with","BUB1B-PAK6 (interacts with) FAM111B"
"interacts with","BUB1B-PAK6 (interacts with) PBK","false","interacts with","BUB1B-PAK6 (interacts with) PBK"
"interacts with","BUB1B-PAK6 (interacts with) FBXO43","false","interacts with","BUB1B-PAK6 (interacts with) FBXO43"
"interacts with","BUB1B-PAK6 (interacts with) MCM2","false","interacts with","BUB1B-PAK6 (interacts with) MCM2"
"interacts with","BUB1B-PAK6 (interacts with) ZWINT","false","interacts with","BUB1B-PAK6 (interacts with) ZWINT"
"interacts with","BUB1B-PAK6 (interacts with) DEPDC1","false","interacts with","BUB1B-PAK6 (interacts with) DEPDC1"
"interacts with","KIF4A (interacts with) PNPLA3","false","interacts with","KIF4A (interacts with) PNPLA3"
"interacts with","KIF4A (interacts with) SKA1","false","interacts with","KIF4A (interacts with) SKA1"
"interacts with","KIF4A (interacts with) HROB","false","interacts with","KIF4A (interacts with) HROB"
"interacts with","KIF4A (interacts with) BUB1","false","interacts with","KIF4A (interacts with) BUB1"
"interacts with","SLAMF7 (interacts with) CGN","false","interacts with","SLAMF7 (interacts with) CGN"
"interacts with","SLAMF7 (interacts with) UBASH3A","false","interacts with","SLAMF7 (interacts with) UBASH3A"
"interacts with","SLAMF7 (interacts with) BCL11B","false","interacts with","SLAMF7 (interacts with) BCL11B"
"interacts with","SLAMF7 (interacts with) TNIP3","false","interacts with","SLAMF7 (interacts with) TNIP3"
"interacts with","SLAMF7 (interacts with) IL7R","false","interacts with","SLAMF7 (interacts with) IL7R"
"interacts with","SLAMF7 (interacts with) IL21R-AS1","false","interacts with","SLAMF7 (interacts with) IL21R-AS1"
"interacts with","SLAMF7 (interacts with) ANKRD22","false","interacts with","SLAMF7 (interacts with) ANKRD22"
"interacts with","SLAMF7 (interacts with) CXCR2P1","false","interacts with","SLAMF7 (interacts with) CXCR2P1"
"interacts with","SLAMF7 (interacts with) TNFSF13B","false","interacts with","SLAMF7 (interacts with) TNFSF13B"
"interacts with","SLAMF7 (interacts with) CXCR6","false","interacts with","SLAMF7 (interacts with) CXCR6"
"interacts with","SLAMF7 (interacts with) LINC01857","false","interacts with","SLAMF7 (interacts with) LINC01857"
"interacts with","SLAMF7 (interacts with) PDCD1","false","interacts with","SLAMF7 (interacts with) PDCD1"
"interacts with","SLAMF7 (interacts with) CXCL10","false","interacts with","SLAMF7 (interacts with) CXCL10"
"interacts with","SLAMF7 (interacts with) IL2RB","false","interacts with","SLAMF7 (interacts with) IL2RB"
"interacts with","SLAMF7 (interacts with) LINC02316","false","interacts with","SLAMF7 (interacts with) LINC02316"
"interacts with","SLAMF7 (interacts with) CD80","false","interacts with","SLAMF7 (interacts with) CD80"
"interacts with","SLAMF7 (interacts with) GBP5","false","interacts with","SLAMF7 (interacts with) GBP5"
"interacts with","SLAMF7 (interacts with) CD300LF","false","interacts with","SLAMF7 (interacts with) CD300LF"
"interacts with","SLAMF7 (interacts with) CD52","false","interacts with","SLAMF7 (interacts with) CD52"
"interacts with","SLAMF7 (interacts with) OSCAR","false","interacts with","SLAMF7 (interacts with) OSCAR"
"interacts with","SLAMF7 (interacts with) LOC107984551","false","interacts with","SLAMF7 (interacts with) LOC107984551"
"interacts with","SLAMF7 (interacts with) DNAJC5B","false","interacts with","SLAMF7 (interacts with) DNAJC5B"
"interacts with","SLAMF7 (interacts with) SLC1A3","false","interacts with","SLAMF7 (interacts with) SLC1A3"
"interacts with","SLAMF7 (interacts with) OASL","false","interacts with","SLAMF7 (interacts with) OASL"
"interacts with","SLAMF7 (interacts with) KLHDC7B","false","interacts with","SLAMF7 (interacts with) KLHDC7B"
"interacts with","SLAMF7 (interacts with) UBD","false","interacts with","SLAMF7 (interacts with) UBD"
"interacts with","SLAMF7 (interacts with) BIRC3","false","interacts with","SLAMF7 (interacts with) BIRC3"
"interacts with","SLAMF7 (interacts with) APOBR","false","interacts with","SLAMF7 (interacts with) APOBR"
"interacts with","SLAMF7 (interacts with) ICOS","false","interacts with","SLAMF7 (interacts with) ICOS"
"interacts with","SLAMF7 (interacts with) CTSW","false","interacts with","SLAMF7 (interacts with) CTSW"
"interacts with","SLAMF7 (interacts with) LINC02084","false","interacts with","SLAMF7 (interacts with) LINC02084"
"interacts with","SLAMF7 (interacts with) PKD2L1","false","interacts with","SLAMF7 (interacts with) PKD2L1"
"interacts with","SLAMF7 (interacts with) CXCL9","false","interacts with","SLAMF7 (interacts with) CXCL9"
"interacts with","SLAMF7 (interacts with) SH2D1A","false","interacts with","SLAMF7 (interacts with) SH2D1A"
"interacts with","SLAMF7 (interacts with) CCL18","false","interacts with","SLAMF7 (interacts with) CCL18"
"interacts with","SLAMF7 (interacts with) TNFRSF9","false","interacts with","SLAMF7 (interacts with) TNFRSF9"
"interacts with","SLAMF7 (interacts with) EOMES","false","interacts with","SLAMF7 (interacts with) EOMES"
"interacts with","SLAMF7 (interacts with) ITK","false","interacts with","SLAMF7 (interacts with) ITK"
"interacts with","SLAMF7 (interacts with) BATF","false","interacts with","SLAMF7 (interacts with) BATF"
"interacts with","SLAMF7 (interacts with) LINC01871","false","interacts with","SLAMF7 (interacts with) LINC01871"
"interacts with","SLAMF7 (interacts with) CCL5","false","interacts with","SLAMF7 (interacts with) CCL5"
