Bicluster,Genes,Condiciones,NumGenes,NumCondiciones
76,LOC101928202;ATP1A2;TUBA3E;TMED11P;LINC02370;GAGE12H,Tumor1;Tumor3;Tumor4;Tumor5;Tumor6;Tumor7;Tumor8;Tumor9;Tumor10;Tumor12;Tumor15;Tumor18,6,12
77,HTR1D;NECTIN4;ATP6V1B1-AS1;ZFHX4-AS1;FOLR1;PRAC2;MIR3185,Tumor2;Tumor4;Tumor5;Tumor6;Tumor10;Tumor11;Tumor12;Tumor13;Tumor14;Tumor18,7,10
78,FMO3;NKX6-1;LOC107986951;LOC107984475;LINC01583;LOC105370924;LOC105370953,Tumor2;Tumor4;Tumor6;Tumor8;Tumor9;Tumor10;Tumor12;Tumor13;Tumor16;Tumor18,7,10
79,LOC105375894;ZFHX4-AS1;C10orf88B;LINC01971;LOC107985492;RIPK4;LOC105373150,Tumor1;Tumor2;Tumor3;Tumor6;Tumor8;Tumor9;Tumor10;Tumor11;Tumor12;Tumor13,7,10
80,VEPH1;HMMR;ULBP2;LINC03044;CEP55;CDKN3;SHCBP1,Tumor1;Tumor2;Tumor3;Tumor5;Tumor6;Tumor7;Tumor8;Tumor12;Tumor13;Tumor18,7,10
81,AK5;RFX8;SOCAR;SLC6A7;OBP2A;LOC105378305;SDS,Tumor2;Tumor3;Tumor4;Tumor6;Tumor8;Tumor9;Tumor11;Tumor14;Tumor15;Tumor18,7,10
82,GBP5;101928152;SOCAR;PDCD1;C5orf46;SERPINA1;IFI30,Tumor1;Tumor2;Tumor7;Tumor8;Tumor9;Tumor10;Tumor12;Tumor13;Tumor15;Tumor18,7,10
83,MINDY4B;LOC105376041;FAM95C;ANKRD18A;FAM201A;LOC284240,Tumor1;Tumor3;Tumor4;Tumor6;Tumor8;Tumor10;Tumor11;Tumor12;Tumor13;Tumor15;Tumor18,6,11
84,FOXD3-AS1;EN1;ZIC1;NMU;C5orf46;LOC105375690;FOXG1;IRX3,Tumor6;Tumor7;Tumor10;Tumor11;Tumor12;Tumor13;Tumor14;Tumor18,8,8
85,NECTIN4;LINC01943;TMEM52B;LOC107984475;KRT31;CYP4F2;APOC4-APOC2;APOC2,Tumor2;Tumor4;Tumor6;Tumor7;Tumor8;Tumor13;Tumor16;Tumor18,8,8
86,HOOK1;ACTA1;SOWAHB;LUCAT1;TFAP2A-AS1;STMN2;MAP3K9-DT;FAM83E,Tumor1;Tumor2;Tumor3;Tumor7;Tumor8;Tumor11;Tumor14;Tumor18,8,8
87,GBP5;IGKJ5;PDCD1;TRAT1;ZBED2;JCHAIN;ALPK2;SIRPG,Tumor4;Tumor5;Tumor6;Tumor7;Tumor8;Tumor11;Tumor12;Tumor16,8,8
88,ZIC4;ZIC1;LINC02475;LMNB1;ULBP2;ZWINT;107987172,Tumor1;Tumor3;Tumor5;Tumor6;Tumor7;Tumor11;Tumor12;Tumor13;Tumor18,7,9
89,DUSP5P1;ATP6V1B1-AS1;MTTP;CDK1;CACNG5;SYT4;PRAME,Tumor2;Tumor9;Tumor10;Tumor11;Tumor12;Tumor13;Tumor14;Tumor16;Tumor18,7,9
90,SRD5A2;TUBA3E;ADAMTS19;LGI3;TACR2;DRD2;RXFP2;SRL;AGTR2,Tumor2;Tumor5;Tumor7;Tumor13;Tumor14;Tumor16;Tumor18,9,7
91,TNFRSF9;ICOS;CXCR2P1;PDCD1;SLC12A8;IGHG3;NLRP2,Tumor2;Tumor4;Tumor5;Tumor6;Tumor7;Tumor9;Tumor10;Tumor12;Tumor13,7,9
92,ST6GALNAC5;GBP5;ICOS;TRAT1;CD80;SIRPG;CSAG3,Tumor2;Tumor3;Tumor7;Tumor9;Tumor11;Tumor12;Tumor13;Tumor14;Tumor18,7,9
93,EN1;SLC6A7;LOC107984475;MKRN3;LOC105370924;CCL18,Tumor1;Tumor2;Tumor6;Tumor7;Tumor8;Tumor9;Tumor10;Tumor14;Tumor16;Tumor18,6,10
94,CENPA;NRXN1;LOC107986606;LOC105370960;ACAN;LOC105372613,Tumor2;Tumor3;Tumor6;Tumor7;Tumor9;Tumor10;Tumor11;Tumor12;Tumor13;Tumor18,6,10
95,SGO1;LOC105375690;CEP55;SKA3;DIAPH3;AQP9,Tumor1;Tumor2;Tumor3;Tumor5;Tumor6;Tumor8;Tumor9;Tumor12;Tumor13;Tumor18,6,10
96,CDCA8;IL37;LOC101927687;POLQ;CENPE;ZWINT,Tumor2;Tumor4;Tumor9;Tumor10;Tumor12;Tumor13;Tumor14;Tumor15;Tumor16;Tumor18,6,10
97,LAMB3;LINC01857;LINC00942;LINC00944;TMEM30B;CCDC194,Tumor1;Tumor2;Tumor4;Tumor6;Tumor8;Tumor11;Tumor13;Tumor14;Tumor16;Tumor18,6,10
98,CDCA8;DEPDC1;NCAPH;LOC105377508;TBX18;LOC105369315;DDN;ZIC2;FOXG1;LINC01551;MKRN3;PRR11,Tumor5;Tumor7;Tumor8;Tumor15;Tumor18,12,5
99,FMO3;LOC105377043;NKX6-1;BARX2;LCMT1-AS2;LOC101929707;LOC105372613,Tumor2;Tumor4;Tumor5;Tumor7;Tumor8;Tumor14;Tumor15;Tumor16,7,8
100,NBPF6;NYAP2;ZBED2;ZIC1;LINC02475;LOC107985436;107985627;TLR8-AS1,Tumor2;Tumor3;Tumor5;Tumor7;Tumor8;Tumor11;Tumor16,8,7
