"interaction","name","selected","shared interaction","shared name"
"interacts with","TNFRSF9 (interacts with) TNFRSF18","false","interacts with","TNFRSF9 (interacts with) TNFRSF18"
"interacts with","TNFRSF9 (interacts with) CD84","false","interacts with","TNFRSF9 (interacts with) CD84"
"interacts with","TNFRSF9 (interacts with) IL2RB","false","interacts with","TNFRSF9 (interacts with) IL2RB"
"interacts with","TNFRSF9 (interacts with) CXCR3","false","interacts with","TNFRSF9 (interacts with) CXCR3"
"interacts with","TNFRSF9 (interacts with) FAM78A","false","interacts with","TNFRSF9 (interacts with) FAM78A"
"interacts with","TNFRSF9 (interacts with) TNFSF13B","false","interacts with","TNFRSF9 (interacts with) TNFSF13B"
"interacts with","TNFRSF9 (interacts with) MICB","false","interacts with","TNFRSF9 (interacts with) MICB"
"interacts with","TNFRSF9 (interacts with) TYMP","false","interacts with","TNFRSF9 (interacts with) TYMP"
"interacts with","TNFRSF9 (interacts with) CCRL2","false","interacts with","TNFRSF9 (interacts with) CCRL2"
"interacts with","TNFRSF9 (interacts with) CSTA","false","interacts with","TNFRSF9 (interacts with) CSTA"
"interacts with","TNFRSF9 (interacts with) CD80","false","interacts with","TNFRSF9 (interacts with) CD80"
"interacts with","TNFRSF9 (interacts with) CXCR2P1","false","interacts with","TNFRSF9 (interacts with) CXCR2P1"
"interacts with","TNFRSF9 (interacts with) IFI44","false","interacts with","TNFRSF9 (interacts with) IFI44"
"interacts with","TNFRSF9 (interacts with) VCAM1","false","interacts with","TNFRSF9 (interacts with) VCAM1"
"interacts with","TNFRSF9 (interacts with) TFEC","false","interacts with","TNFRSF9 (interacts with) TFEC"
"interacts with","TNFRSF9 (interacts with) BATF","false","interacts with","TNFRSF9 (interacts with) BATF"
"interacts with","TNFRSF9 (interacts with) BOK","false","interacts with","TNFRSF9 (interacts with) BOK"
"interacts with","TNFRSF9 (interacts with) PTPRC","false","interacts with","TNFRSF9 (interacts with) PTPRC"
"interacts with","TNFRSF9 (interacts with) PLEK","false","interacts with","TNFRSF9 (interacts with) PLEK"
"interacts with","TNFRSF9 (interacts with) ZNF267","false","interacts with","TNFRSF9 (interacts with) ZNF267"
"interacts with","TNFRSF9 (interacts with) LILRA6","false","interacts with","TNFRSF9 (interacts with) LILRA6"
"interacts with","TNFRSF9 (interacts with) LINC01943","false","interacts with","TNFRSF9 (interacts with) LINC01943"
"interacts with","TNFRSF9 (interacts with) BIRC3","false","interacts with","TNFRSF9 (interacts with) BIRC3"
"interacts with","TNFRSF9 (interacts with) PARP14","false","interacts with","TNFRSF9 (interacts with) PARP14"
"interacts with","TNFRSF9 (interacts with) CCR1","false","interacts with","TNFRSF9 (interacts with) CCR1"
"interacts with","TNFRSF9 (interacts with) LYZ","false","interacts with","TNFRSF9 (interacts with) LYZ"
"interacts with","TNFRSF9 (interacts with) C1QC","false","interacts with","TNFRSF9 (interacts with) C1QC"
"interacts with","TNFRSF9 (interacts with) GZMA","false","interacts with","TNFRSF9 (interacts with) GZMA"
"interacts with","TNFRSF9 (interacts with) AIM2","false","interacts with","TNFRSF9 (interacts with) AIM2"
"interacts with","TNFRSF9 (interacts with) LOC107984551","false","interacts with","TNFRSF9 (interacts with) LOC107984551"
